,CWR,EW,UCB,PSR,PSR-UCB,PW-UCB
1986,1.5726934913780286,1.5734511125049058,0.9036253569632553,1.5813050420461774,0.44190361156576763,0.33586622339297056
1987,0.5232758422879966,0.5282415302667967,0.4898331653797215,1.0453081472833663,0.8750388944649136,0.6851292105487161
1988,0.576230937674678,0.569819457419863,0.40210404799997773,1.2636668431743363,0.8210190227077306,0.6680985086313834
1989,1.6744065914032968,1.6965809136119254,0.9767773888900249,1.7152337956433963,0.7043394344341429,0.8240404738037402
1990,0.570148822759839,0.7206504013792051,1.1715363149127656,0.11485347668913189,1.2645774212988417,1.426329551284367
1991,0.8208166966533147,0.9639107605488956,0.9206860628161815,-0.4173905316818544,1.3644531359767158,1.1421124337014716
1992,1.839457748681424,1.808538418547209,0.6677858516153254,0.5152836822465253,0.9557546598042647,0.7551938248771852
1993,1.3436423838496845,1.0205299359016484,0.5491907524012765,0.6677202072633783,0.4365175757676689,0.34409257456485215
1994,0.6945489051862184,0.5034934780161681,1.0841317540045237,0.6602295628926306,0.7907799814426769,0.8221407310774439
1995,1.6082909079953263,1.6426106294899434,2.0351516699373153,1.7156711190813088,1.7245137864772033,1.8898550507400298
1996,2.7802406175396714,2.6701898960839565,2.686332942070265,2.0539799001485575,2.4770885467066344,2.2813659881031074
1997,1.793635714093897,1.7408918201240045,2.3385527513891504,1.7020683839357746,2.534565137061567,2.3104201741138315
1998,1.057616359477298,1.1739044834373153,1.0787520023091683,1.0991000331499852,1.0731109095186284,1.3040225909724699
1999,0.5697601167001987,0.7467662697412367,0.1448522858963192,0.19578816529798412,-0.2200366642468248,-0.17562006174966116
2000,0.574588092519791,0.36844128786278535,0.09630629566567671,-0.36041203447939135,-0.08816758267100051,-0.06399685038503945
2001,0.38173073959335996,-0.04615237271544348,0.2450298854004956,0.30844861981304167,0.054889943307540406,0.463247766498345
2002,-0.13485757198424336,-0.3758887681506991,0.10520289174518381,0.4633982163104305,0.08052198388477207,0.24339011044525077
2003,0.6239757402892104,0.47267766011367995,0.5252105605532782,1.0365643393533985,0.809507536552774,0.668787416258352
2004,1.7789538734683916,1.5969176618564587,1.4692748243172327,1.7103087191481545,1.1970068508533764,1.4020349265212695
2005,1.0201237892660882,0.9861158779592216,0.5688647308917656,0.6595031141547054,-0.14658248546499583,0.1748178708703514
2006,1.0199984682508634,1.0246316638949087,0.586410802938438,1.1992877494316772,0.8142790979055649,0.7988183353823222
2007,0.9851647774399883,1.0090723224293552,0.8945683597327693,0.10327962927732622,1.172991595100915,1.0909970889088316
2008,-0.4427115794660073,-0.438667199950712,-1.0026994999389567,-0.09856637731183032,-0.42783511927500645,-0.22573300909804397
2009,-0.019771935812299784,-0.11001944086969338,-1.0886279878605003,1.027645624740716,-0.40702420453845783,-0.459200722696849
2010,1.1730440301355574,1.1550147235433024,0.12122049712843921,1.444925187369468,0.5698032913829402,0.1429889628075641
2011,0.538749187616993,0.5632191208554288,1.105055128149172,0.5177619728591005,1.488370112294129,1.4854739465172204
2012,0.4655438760217049,0.4547433817403958,1.324466969176399,-0.20767592902014717,1.510351413715196,1.4191747524121878
2013,1.7838016958687697,1.8222703691967814,1.6320166889671652,0.3654514909982414,1.6723591410820067,1.4616000974904122
2014,1.5515187535983277,1.7151561525573702,1.8142232247416101,1.225705328559706,1.6513204402206911,1.7876513059669314
2015,0.11018775988641492,0.4641247199681028,0.36437993963415316,0.061603314612981,0.2910663217192128,0.43524796583936637
2016,0.45557478936778134,0.5739560102908414,1.0642458428271624,0.8873590626090964,0.8870484310584975,0.9281962095911889
2017,1.665504465865749,1.6832073287204277,2.075532022210962,1.6216254110176396,2.0587746100338515,1.969319173825247
2018,0.40127366081830484,0.43519676655513506,0.6152791728821053,0.4860614330379888,0.4286717826191728,0.490286437239639
2019,0.47979041758069785,0.5347918324139856,0.273083124359071,0.920251986206506,-0.19507228876841168,-0.18729340170316383
2020,0.9226448388958333,0.958367915033454,0.36549506765224077,0.7640511920237437,-0.13914705211254802,-0.020625463265240816
2021,0.9068029819475218,0.8577990498359483,0.6504194748863601,0.7386659661605004,0.3020611681027006,0.4021406382226541
2022,0.3694308254151332,0.24395050374088506,0.8394115814304691,0.9013574947940464,0.8383930307778402,0.6464018798396934
2023,0.21716029264512898,0.11573788088881438,0.3157766507542188,0.5259993496142852,0.40609237714680396,0.41647526906115945
