Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,0002.HK,0002.HK,0002.HK,0002.HK,0002.HK,0002.HK,0002.HK
Date,,,,,,,
2000-01-04,11.859394073486328,0.0,11.99339775373837,11.79239159437731,11.892894674057839,0.0,1659773
2000-01-05,11.758893013000488,0.0,11.859397398828161,11.32337869362387,11.423881801485189,0.0,2993100
2000-01-06,11.591383934020996,0.0,11.792391367480475,11.557883334094068,11.72538888966065,0.0,3562800
2000-01-07,11.691896438598633,0.0,11.691896438598633,11.524390766286142,11.624893914080264,0.0,2199472
2000-01-10,11.825891494750977,0.0,11.859393371304872,11.72538842102112,11.72538842102112,0.0,1897500
2000-01-11,11.792393684387207,0.0,11.926397388389224,11.725391193403087,11.926397388389224,0.0,1395246
2000-01-12,11.758893013000488,0.0,11.79239490093183,11.69189179307051,11.7253924030355,0.0,1436928
2000-01-13,11.591383934020996,0.0,11.825891967407404,11.52438273416714,11.825891967407404,0.0,1589800
2000-01-14,11.55788516998291,0.0,11.725390752156576,11.524384564734646,11.591385775231174,0.0,2787400
2000-01-17,11.658391952514648,0.0,11.72539446217755,11.557888827003584,11.591389442851748,0.0,856176
2000-01-18,11.524384498596191,0.0,11.691890079808541,11.524384498596191,11.591385708708199,0.0,1181500
2000-01-19,11.356881141662598,0.0,11.557887367298616,11.323379252078984,11.457384254480607,0.0,3398970
2000-01-20,11.32337760925293,0.0,11.42388070748968,11.25637511777302,11.356879493976,0.0,2492068
2000-01-21,11.222877502441406,0.0,11.32338062746697,11.155874993102172,11.155874993102172,0.0,2750528
2000-01-24,11.189373970031738,0.0,11.323377675813017,11.189373970031738,11.323377675813017,0.0,1702800
2000-01-25,11.122376441955566,0.0,11.222879585636562,11.0553739201793,11.155877063860295,0.0,1670200
2000-01-26,11.155874252319336,0.0,11.222876757209406,11.155874252319336,11.155874252319336,0.0,1262936
2000-01-27,11.189373970031738,0.0,11.222874576985499,11.12237147815798,11.15587208511174,0.0,1510737
2000-01-28,11.05536937713623,0.0,11.189374365621365,11.05536937713623,11.189374365621365,0.0,3392933
2000-01-31,10.887866020202637,0.0,11.021871036253287,10.753861004151986,11.021871036253287,0.0,4502339
2000-02-01,10.753857612609863,0.0,10.954865073292284,10.720357008145864,10.954865073292284,0.0,3412500
2000-02-02,10.954865455627441,0.0,11.055368550493233,10.82086047716226,10.88786296639485,0.0,3775582
2000-02-03,10.653356552124023,0.0,11.055370272159463,10.619855941273732,11.055370272159463,0.0,4947800
2000-02-04,10.653356552124023,0.0,10.653356552124023,10.653356552124023,10.653356552124023,0.0,0
2000-02-07,10.653356552124023,0.0,10.653356552124023,10.653356552124023,10.653356552124023,0.0,0
2000-02-08,10.318341255187988,0.0,10.68685357979819,10.251339420975278,10.68685357979819,0.0,3839600
2000-02-09,10.38534927368164,0.0,10.653358031602693,10.217843640235161,10.38534927368164,0.0,2994982
2000-02-10,10.35184097290039,0.0,10.38534220458271,10.217836685153957,10.31833974121807,0.0,2373175
2000-02-11,10.117341041564941,0.0,10.418851069641605,10.016837272883844,10.418851069641605,0.0,6464300
2000-02-14,9.698575019836426,0.0,10.050336543257151,9.66507377022893,10.050336543257151,0.0,8480536
2000-02-15,9.849326133728027,0.0,10.083834157452749,9.648319347532974,9.71532182259231,0.0,6781178
2000-02-16,10.787358283996582,0.0,10.820858884699634,9.916329247074243,9.916329247074243,0.0,6574694
2000-02-17,11.088871955871582,0.0,11.155874462021126,10.787362595148394,10.887865715389458,0.0,9527869
2000-02-18,11.05536937713623,0.0,11.390380570382783,10.921364388651096,11.390380570382783,0.0,7683950
2000-02-21,10.720355987548828,0.0,10.887861549854279,10.653353507033444,10.887861549854279,0.0,2858679
