,CWR,EW,UCB1,PSR,UCBPSR
1975-06-25,0.005516666666666392,0.005531006490485435,0.007369872204283645,4.102244826587054e-05,0.007369872204283645
1975-06-26,0.0027041666666669517,0.002700292139578675,0.012419804423672076,0.004592662661939029,-0.0026725358410611966
1975-06-27,0.0025520833333334547,0.002560671275491533,0.020158442196494875,-0.010465463463402158,0.020158442196494875
1975-06-30,0.007781249999999851,0.007784727528480806,0.005759127266026898,-0.0004071613461907875,0.005759127266026898
1975-07-01,-0.0037812500000001803,-0.0037980885356209138,0.0040642173200566845,0.015498097862861826,0.0040642173200566845
1975-07-02,-0.008874999999999744,-0.008873824548634168,-0.018028251527505423,-0.011305940369125578,-0.018028251527505423
1975-07-03,0.004833333333333467,0.0048319896131787665,-0.0015690406404265111,0.004298896079097503,0.005480471598029668
1975-07-07,-0.006945833333333096,-0.006931256408976516,-0.004977374246418753,-0.0065504554032670415,-0.004977374246418642
1975-07-08,-0.0008958333333333179,-0.0008731190270802047,0.001993423379830883,0.0019150693587277612,0.001993423379830883
1975-07-09,0.017470833333333546,0.01754650747202602,0.01210607223078175,0.0013699936493931641,0.01210607223078175
1975-07-10,0.0031687500000001645,0.003211260011060979,-0.004509646183309957,0.018462661314728734,0.011232501251611904
1975-07-11,0.0024416666666666753,0.0025343181848651586,0.0086918427641558,-0.017491869663015414,-0.008267687002465718
1975-07-14,0.0057791666666664465,0.005811404216762295,-0.001405425045025277,-0.00671138887317746,-0.0022357641515543536
1975-07-15,0.004437500000000094,0.004483509738334668,0.00933927990243344,0.011412399977311916,0.00933927990243344
1975-07-16,-0.009710416666666721,-0.009796523745427721,-0.008970413806837718,0.0038591709415134456,-0.0013388845108861513
1975-07-17,-0.007706250000000137,-0.007688301353500737,-0.013050714017270648,-0.006865973248082913,-0.004428523241655324
1975-07-18,-0.0019375000000001474,-0.001926463977359294,0.006282638258134243,-0.007042977426138686,0.006282638258134243
1975-07-21,-0.0076187499999998964,-0.007632101277404768,0.0010063520028533723,0.014870917133521067,0.0010063520028533723
1975-07-22,-0.012641666666666662,-0.012720293050587306,-0.013529425494651193,0.005645113350253306,-0.01352942549465097
1975-07-23,-0.01571666666666649,-0.015791571124723847,-0.013005086058823556,0.007660700232986484,-0.013005086058823667
1975-07-24,-0.00747708333333319,-0.007563011610562276,0.0022719636346126837,-0.015578063554373522,0.0022719636346126837
1975-07-25,-0.008133333333333326,-0.008141564718857519,0.0007765038194309515,0.011499695488375927,0.0007765038194309515
1975-07-28,-0.007343750000000093,-0.007363441415647931,0.002338468349643019,0.0038419582396067575,0.002338468349643019
1975-07-29,-0.006945833333332985,-0.006951436321038118,0.0021724180072091315,-0.009545418786281457,0.0021724180072091315
1975-07-30,0.006247916666666242,0.0062721204014999365,0.007675691544366092,-0.0019822679857139924,0.007675691544366092
1975-07-31,0.0012416666666668075,0.0012625987688288376,0.002396270778101117,0.0014809909440340885,0.002396270778101117
1975-08-01,-0.012285416666666382,-0.012254600194765652,-0.008898250258668305,-0.0019437786887589459,-0.008898250258668194
1975-08-04,-0.010185416666666836,-0.010126843137956865,-0.00934424501517761,0.0016630475499888053,-0.009344245015177721
1975-08-05,-0.012927083333333478,-0.012904704801691813,-0.010169076192932947,-0.006536162610080054,-0.010169076192932835
1975-08-06,-0.0008499999999999064,-0.0009234052370938883,-0.011628684159468161,-0.021729921241639638,-0.011628684159468161
1975-08-07,-0.0015583333333332172,-0.0015134853434352058,0.004419223461413768,0.0004245520281727089,0.004419223461413768
1975-08-08,-0.004870833333333269,-0.0048213681367711425,-0.006387657912179434,-0.013526261850991372,-0.006387657912179323
1975-08-11,0.001543750000000399,0.0014821920845573544,0.003830915175230931,-0.011998742821288655,0.003830915175230931
1975-08-12,0.00825000000000009,0.008163119962367071,-0.00807033213738717,-0.031580546441385415,-0.00807033213738717
1975-08-13,-0.013268750000000051,-0.013121816251097207,-0.010430856804374944,-0.0012995612037935977,-0.010430856804374944
1975-08-14,-0.007264583333333019,-0.007212753211076062,-0.00044861959433628584,-0.01457203970719867,-0.005817549728759808
1975-08-15,0.006658333333333433,0.006635769672676428,0.022024289051703283,0.007644575516736918,0.022024289051703283
1975-08-18,-0.002914583333333276,-0.0029129048672490443,0.000140465953449187,0.009636550156197687,0.000140465953449187
1975-08-19,-0.01801666666666646,-0.017910910012698622,-0.013060887575242708,-0.009402826182732249,-0.013060887575242708
1975-08-20,-0.019787499999999958,-0.019873452168238326,-0.01661108486433882,-0.006011592724711079,-0.01661108486433882
1975-08-21,-0.0005520833333331199,-0.0006001703504858735,-0.013547649787180704,0.012528800165885201,-0.013547649787180704
1975-08-22,0.01631666666666698,0.016158748004076573,0.026155668647533048,-0.00830781164107719,0.026155668647533048
1975-08-25,0.009752083333333106,0.009747614574933783,0.005117451005773654,0.019963244732410956,0.005117451005773654
1975-08-26,-0.011620833333333191,-0.011461351031742062,-0.013805156560167342,-0.009580875651437615,-0.013805156560167342
1975-08-27,0.004831250000000065,0.00473680045582725,0.010946775321270863,-0.024631111712040354,0.010946775321270863
1975-08-28,0.023722916666667038,0.023616872861801586,0.03124895282422191,-0.006350899736358273,0.03124895282422191
1975-08-29,0.007674999999999654,0.007637187554111247,0.013380689777552357,-0.011847749161543741,0.013380689777552357
1975-09-02,-0.017739583333333253,-0.01754054178113662,-0.0011950652035083165,-0.022814277365776126,-0.0011950652035083165
1975-09-03,0.006039583333332876,0.005974859152560574,0.012559773951842601,0.017790232274136564,0.012559773951842601
