,CWR,EW,UCB1,PSR,UCBPSR
1974-06-24,0.99975625,0.99975625,1.008744429854919,1.008744429854919,1.008744429854919
1974-06-25,1.0108597928515628,1.0108652595833336,1.0079115256778777,1.0223320057122962,1.0079115256778777
1974-06-26,0.9961981139394114,0.9961781194925207,0.9965519340424728,1.0420669185834204,0.9965519340424728
1974-06-27,0.9795470775474613,0.9795663940269543,0.9880260784524988,1.0508131401789946,0.9880260784524988
1974-06-28,0.9732943020357833,0.9733312148309804,0.9699212668056854,1.0549297801767512,0.9699212668056854
1974-07-01,0.9704453885058665,0.9705121986597774,0.9687306785660228,1.0615658337243097,0.9687306785660228
1974-07-02,0.9485335403378946,0.9486651001304148,0.9499896475063381,1.0410288168816335,0.9499896475063381
1974-07-03,0.9452077446120849,0.9452656716711512,0.9438901780648921,1.0455929489498814,0.9438901780648921
1974-07-05,0.93991851960786,0.9399447489799607,0.9349592960876261,1.0720402871178665,0.9349592960876261
1974-07-08,0.9088287564082472,0.9089646437261427,0.9144972169955392,1.0338083460088798,0.9144972169955392
1974-07-09,0.9113469694207945,0.9115257493510057,0.9145753712015743,1.0167051652678432,0.9145753712015743
1974-07-10,0.8965470743653048,0.8967002078444021,0.8977734275048689,0.9980269639069902,0.8977734275048689
1974-07-11,0.896285581468615,0.8963243866393785,0.8997699808168005,0.9832932120436082,0.8997699808168005
1974-07-12,0.9345551085356969,0.934291691931517,0.9343203252600758,1.0210507721858133,0.9343203252600758
1974-07-15,0.9450299137105345,0.9447344732899935,0.9234785845308251,1.0318039890729687,0.9234785845308251
1974-07-16,0.9356682111278394,0.9354454904926905,0.9315061929871249,1.010891062902018,0.9315061929871249
1974-07-17,0.9446233356318421,0.9443060822945144,0.9417625112517941,1.0220214456628507,0.9417625112517941
1974-07-18,0.9492618298028512,0.949017847973756,0.9440176691076276,1.0244687927004317,0.9440176691076276
1974-07-19,0.9506422147136896,0.9505513792958659,0.9465289684756375,1.027194110155651,0.9465289684756375
1974-07-22,0.9536189131485117,0.9534047666357628,0.9422245691418857,1.0225228810748248,0.9422245691418857
1974-07-23,0.962469688686171,0.9623691033516892,0.9593970033771562,1.0363612838004057,0.9593970033771562
1974-07-24,0.964498895613151,0.9645452645657623,0.9649091320607041,1.0423156037939496,0.9649091320607041
1974-07-25,0.9560032678409587,0.9562065013205214,0.9536649936484141,1.0071019470176488,0.9536649936484141
1974-07-26,0.940569790085751,0.9408593866083893,0.9473754043871457,1.000459931600126,0.9473754043871457
1974-07-29,0.9235415578444068,0.9241498023646934,0.9420188061221397,0.9948031857008759,0.9420188061221397
1974-07-30,0.9170940833437056,0.9175962791097526,0.9401617141526096,0.9713927256569626,0.9198505079719885
1974-07-31,0.9056227648512147,0.9064638486295981,0.9385382688453026,0.9538501852591077,0.9182621354950927
1974-08-01,0.899651314745477,0.9005314998534627,0.9380628554836311,0.9533670156983578,0.9177969929396714
1974-08-02,0.896639357114652,0.8975019460434596,0.9453051232984452,0.9607274385241159,0.9248827991664548
1974-08-05,0.90392828788853,0.9044987352581795,0.9483567310677516,0.9638288321835052,0.9278684801556639
1974-08-06,0.9176661146805023,0.918229349458564,0.9586902714101689,0.9743309605433046,0.9379787752145188
1974-08-07,0.9407454174647167,0.9409301061566842,0.9897688029663158,0.9903325993327747,0.9533833945492086
1974-08-08,0.9318240150890934,0.9321648605819729,0.9753153146979708,0.9855866571784916,0.9488145229959213
1974-08-09,0.9273027273158797,0.9278704971288799,0.9739978987192183,0.977190588608762,0.9407317108585951
1974-08-12,0.917799806241574,0.918600367873634,0.9499451125432771,0.9733587034333482,0.9175004300519698
1974-08-13,0.9031436905856537,0.9045241609999578,0.9546157819639267,0.9780508694454783,0.9220115761650368
1974-08-14,0.8852934318510991,0.8871828509222718,0.9482951280262097,0.9549973841098398,0.9159067995526925
1974-08-15,0.8821063754964352,0.884046909212198,0.9494740019850947,0.9414607476400795,0.9105889049976951
1974-08-16,0.8770195620644055,0.8791542112783334,0.9575751353856934,0.9443827525103743,0.9134150931546727
1974-08-19,0.8654136698597531,0.8673173142835239,0.957159018640397,0.9449256428436444,0.9139401813384823
1974-08-20,0.8693242578804316,0.8711937605024714,0.9676589172133823,0.9552913430205747,0.9239659754008535
1974-08-21,0.8558551651598966,0.85803247717989,0.9525945684820047,0.9590623334277586,0.9276133096463244
1974-08-22,0.8435361998763764,0.8460383709449361,0.9504983739032278,0.956951906462755,0.9255720865959132
1974-08-23,0.830798803258243,0.8333624799051704,0.9306463628558967,0.9369651075997016,0.9062406834155496
1974-08-26,0.8355862813620186,0.8372508747463798,0.9600070220723796,0.9283267369294896,0.8978855772581554
1974-08-27,0.8219888554376047,0.8236680753067881,0.9483945910158027,0.9129463539969069,0.8870245792416024
1974-08-28,0.8182522310989279,0.8195316482882912,0.9629438063070894,0.9145028637716556,0.9006323240498327
1974-08-29,0.8072365104377581,0.8084192844229808,0.9602679205970204,0.9045688091679391,0.8981295932049317
1974-08-30,0.8290739397878295,0.8299534322234593,0.9861306519657025,0.914638765031663,0.9223187636490318
1974-09-03,0.8114474823804654,0.8126264319922085,0.9876259979351685,0.8855042893581082,0.9237173467303266
1974-09-04,0.7877058814584839,0.789041517329769,0.9526606403203588,0.8800412375251229,0.8910145752045114
1974-09-05,0.8090477876842499,0.8099795568087762,0.9566305873352908,0.883762186031975,0.8947276294689392
